,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
74,32.56768419,American Electric Power Co Inc,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0
75,14.23599066,American Express Company,0,0,0,0,0,0,0,1,2,5,0,0,0,5,10,0,0,0
76,2.242294909,American International Group Inc,0,5,0,0,0,0,0,1,6,0,0,0,0,3,19,0,0,0
77,11.04673614,"Ameriprise Financial, Inc.",0,2,0,0,0,0,0,1,4,0,0,0,0,6,5,0,0,0
78,28.10488362,AmerisourceBergen Corp,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,44,0,0
79,70.60186263,Amgen Inc,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,1,0,0
80,44.78848378,Amorepacific Corp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
81,29.06922638,"AmorePacific Group, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
82,1.791218773,Amphenol Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,10.67322123,Anadarko Petroleum Corp,0,0,1,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0
84,39.68442411,Andritz AG,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0
85,90.02507075,Anglo American PLC,0,0,0,7,0,0,0,0,1,0,0,0,0,1,4,5,0,0
86,90.02507075,Anglo American Platinum Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
87,87.78524766,AngloGold Ashanti Limited,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0
88,11.14306714,Anheuser-Busch InBev SA/NV,0,0,0,0,0,0,0,2,3,0,0,0,0,4,10,10,0,0
